Scam Category,Tag Family,Example Phrase,Confidence,Suggested Score Lift,Why It Matters,Use With Context,Primary Sources
"Healthcare or Insurance Fraud","healthcare_fraud_or_medical_urgency","A health app asked me to verify my bank information","Medium to High","+12 to +18","Fake health apps may collect bank credentials or card information under verification language.","Use with app download, link click, or login changes. Recommend credential review if entered.","FTC Healthcare Scams; FBI Medicare Fraud; AARP Healthcare Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","I downloaded an app that looked like Coinbase","Very High","+18 to +25","Fake crypto exchange apps mimic real brands and steal deposits.","Combine with money movement, app install timing, and inability to withdraw. Verify real exchange account separately.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","The website looked exactly like Kraken","Very High","+18 to +25","Lookalike exchange websites can show fake balances while diverting deposits.","Use with URL review, wallet addresses, and recent account setup. Capture site details for Fraud.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","Binance support told me to deposit more","Very High","+18 to +25","Fake support agents often request additional deposits to unlock fake profits.","Use with support chat screenshots, new wallet addresses, or withdrawal blocks.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","The wallet address was sent by the exchange agent","Very High","+18 to +25","A privately supplied wallet address may bypass legitimate exchange controls.","Use with crypto transfer requests, new payee, or remote coaching. Verify exchange instructions independently.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","The profits show in the app but I cannot withdraw","Very High","+18 to +25","Fake platforms commonly display false profits and block withdrawals until more money is sent.","Use with fee requests, tax payments, or romance/investment context. Escalate before more funds move.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","I need to pay a verification fee to withdraw crypto","Very High","+18 to +25","Withdrawal-fee traps are common in fake crypto platform fraud.","Use with fake profit screens and urgent requests. Warn customer legitimate platforms do not require outside fee transfers.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","The exchange emailed me a new wallet address","Very High","+18 to +25","Fake exchange emails can redirect customers to criminal wallet addresses.","Use with sender verification, recent email change, or phishing link review.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","The crypto platform asked for taxes before release","Very High","+18 to +25","Tax-before-release language is a common fake investment and crypto withdrawal scam.","Use with large displayed balances, withdrawal restrictions, or overseas platform references.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","A learning platform said to send funds to their wallet","High","+18 to +25","Fake crypto learning platforms can be onboarding paths into fraudulent wallets.","Use with online relationship, mentorship, or guaranteed-return language.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Fake Cryptocurrency Exchange or Platform","crypto_exchange_impersonation","The app shows guaranteed crypto returns","Very High","+18 to +25","Guaranteed returns are a core investment-fraud warning sign, especially in crypto.","Use with app screenshots, new deposits, and pressure to increase investment.","FBI Cybercrime; FTC Crypto Fraud; SEC Investment Fraud"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Customer identity verified","Verified","-6 to -10","Documented identity verification lowers uncertainty after an alert.","Use to reduce score only after a real verification step, not as a generic note.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Banker confirmed legitimate","Verified","-6 to -10","A banker confirmation can prevent unnecessary false-positive escalation.","Use when the banker independently confirmed the activity or source.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","I called the vendor directly","Verified","-6 to -10","Calling a known vendor number helps validate invoice or payment legitimacy.","Use to reduce risk when vendor contact information came from trusted records, not the suspicious message.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Verified using known phone number","Verified","-6 to -10","Using a known phone number reduces risk of caller ID spoofing or imposter contact.","Use to lower score after documented out-of-band verification.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Payee confirmed by prior record","Verified","-6 to -10","Known payee history can reduce risk when payment details match prior records.","Use with invoice/vendor payments where account details match bank history.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Identity document reviewed","Verified","-6 to -10","Reviewing identity documents can reduce impersonation risk in branch interactions.","Use with customer-present situations and document the verification method.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Transaction authorization confirmed","Verified","-6 to -10","Clear customer authorization can lower risk after suspicious activity review.","Use only when customer was contacted through safe channels and understood the transaction.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Known trusted payee","Verified","-6 to -10","A trusted payee with history can reduce likelihood of new-payee fraud.","Use with payment history, normal amount, and no coercion indicators.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Legitimate business confirmed","Verified","-6 to -10","Confirming the business is legitimate lowers risk in vendor or invoice scenarios.","Use with business records, known contacts, and matching payment instructions.","Banking Best Practices; Fraud Prevention Guidelines"
"Customer/Banker Verification - LOWERS FRAUD SCORE","derisking_or_verified","Third party verification completed","Verified","-6 to -10","Independent third-party verification helps separate legitimate transactions from scams.","Use to reduce score after documented verification from a trusted source.","Banking Best Practices; Fraud Prevention Guidelines"
